調查日期,國道名稱,國道編號,方向 ,樁號,里程,匝道編號,匝道編號 (舊),交流道名稱,匝道中文描述,出入國道,鋪面種類,與匝道起點距離,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,槽化區,槽化區寬,方位角,曲率半徑,縱向坡度,橫向坡度
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,360,312804.386,2769830.975,121.62236524,25.03529242,7.990,1,4.246,0.000,0.000,0.000,無,0.000,1.887,4612399.000,0.011,-0.01
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,370,312813.853,2769827.755,121.62245891,25.03526296,8.060,1,4.147,0.000,0.000,0.000,無,0.000,1.887,40216.040,0.011,-0.02
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,380,312823.335,2769824.575,121.62255272,25.03523386,8.090,1,4.069,0.000,0.000,0.000,無,0.000,1.887,32090.540,0.009,-0.01
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,390,312832.864,2769821.554,121.62264701,25.03520619,7.970,1,4.018,0.000,0.000,0.000,無,0.000,1.888,38681413.000,0.007,-0.01
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,400,312842.424,2769818.614,121.62274160,25.03517925,7.770,1,3.973,0.000,0.000,0.000,無,0.000,1.888,,0.007,-0.02
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,400.613,312845.426,2769825.802,121.62277167,25.03524402,7.750,1,3.971,0.000,0.000,0.000,無,0.000,0.000,,,-0.02
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,0,312905.005,2769850.478,121.62336318,25.03546431,6.850,1,4.059,0.000,0.000,0.000,無,0.000,5.082,190.213,-0.017,-0.03
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,10,312898.262,2769860.570,121.62329682,25.03555570,7.140,1,4.324,0.000,0.000,0.000,有,0.190,5.135,164.528,-0.019,-0.04
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,20,312889.416,2769864.559,121.62320934,25.03559208,7.180,1,4.438,0.000,0.000,0.000,有,0.450,5.195,104.929,-0.018,-0.04
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,30,312881.112,2769869.246,121.62312728,25.03563474,7.440,1,4.400,0.000,0.000,0.000,有,0.750,5.291,121.677,-0.023,-0.06
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,40,312873.088,2769874.422,121.62304800,25.03568180,7.340,1,4.302,0.000,0.000,0.000,有,1.230,5.373,150.309,-0.029,-0.06
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,50,312865.232,2769880.171,121.62297041,25.03573403,8.620,1,4.132,0.000,0.000,0.000,無,0.000,5.439,123.554,-0.036,-0.06
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,60,312857.994,2769886.346,121.62289898,25.03579008,8.270,1,4.055,0.000,0.000,0.000,無,0.000,5.520,165.930,-0.06,-0.06
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,70,312851.041,2769893.131,121.62283038,25.03585162,7.960,1,4.102,0.000,0.000,0.000,無,0.000,5.580,162.469,-0.073,-0.07
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,80,312844.505,2769900.442,121.62276595,25.03591789,7.670,1,4.066,0.000,0.000,0.000,無,0.000,5.642,142.440,-0.075,-0.06
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,90,312838.581,2769908.086,121.62270760,25.03598715,7.510,1,4.142,0.000,0.000,0.000,無,0.000,5.712,216.334,-0.078,-0.06
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,100,312833.198,2769916.249,121.62265463,25.03606107,7.600,1,4.424,0.000,0.000,0.000,無,0.000,5.758,185.455,-0.075,-0.06
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,110,312828.804,2769925.007,121.62261149,25.03614031,8.200,1,4.504,0.000,0.000,0.000,無,0.000,5.812,129.400,-0.072,-0.07
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,120,312824.447,2769933.672,121.62256870,25.03621872,8.260,1,4.451,0.000,0.000,0.000,無,0.000,5.890,129.628,-0.071,-0.07
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,130,312820.615,2769942.594,121.62253115,25.03629942,8.060,1,4.382,0.000,0.000,0.000,無,0.000,5.967,159.782,-0.074,-0.06
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,140,312817.700,2769951.801,121.62250267,25.03638266,8.210,1,4.413,0.000,0.000,0.000,無,0.000,6.029,148.589,-0.076,-0.06
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,150,312815.344,2769961.191,121.62247976,25.03646753,8.250,1,4.499,0.000,0.000,0.000,無,0.000,6.096,140.096,-0.072,-0.06
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,160,312813.889,2769970.765,121.62246578,25.03655402,8.640,1,4.432,0.000,0.000,0.000,無,0.000,6.168,146.321,-0.072,-0.05
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,170,312812.808,2769980.311,121.62245550,25.03664025,8.610,1,4.386,0.000,0.000,0.000,無,0.000,6.236,1.609,-0.074,-0.05
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,180,312812.368,2769989.983,121.62245158,25.03672759,8.610,1,4.344,0.000,0.000,0.000,無,0.000,0.022,146.306,-0.075,-0.05
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,190,312812.454,2769999.633,121.62245287,25.03681470,8.500,1,4.354,0.000,0.000,0.000,無,0.000,0.090,147.629,-0.074,-0.05
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,200,312813.385,2770009.319,121.62246254,25.03690210,8.510,1,4.257,0.000,0.000,0.000,無,0.000,0.158,131.886,-0.071,-0.05
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,210,312814.767,2770018.732,121.62247666,25.03698703,8.450,1,4.497,0.000,0.000,0.000,無,0.000,0.234,213.343,-0.055,-0.06
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NI00L,14,南港系統交流道,國道5號北上接國道3號北上,入,柔性,220,312816.630,2770028.368,121.62249557,25.03707394,8.040,1,4.506,0.000,0.000,0.000,無,0.000,0.281,171.966,-0.04,-0.05
